Time,Open,High,Low,Close,Volume
07/28/2021 04:41:00,39657.61,39720.72,39638.88,39695.94,1085301.1
07/28/2021 04:42:00,39691.67,39735.5,39683.02,39718.02,877982.44
07/28/2021 04:43:00,39719.46,39754.77,39675,39701.11,1481828.6
07/28/2021 04:44:00,39700.81,39723.66,39648.21,39709.81,1261002.5
07/28/2021 04:45:00,39710.99,39716.87,39685.67,39685.67,604788.5
07/28/2021 04:46:00,39684.53,39775.28,39684.53,39775.27,1372953.2
07/28/2021 04:47:00,39775.47,39797.26,39754.79,39772.49,946356.94
07/28/2021 04:48:00,39772.49,39781.9,39742.15,39762.95,765029.56
07/28/2021 04:49:00,39762.95,39772.99,39730.75,39730.75,365526.25
07/28/2021 04:50:00,39730.75,39812.54,39727.61,39794.47,1271616.8
07/28/2021 04:51:00,39794.47,39835.28,39794.47,39834.25,1383680.9
07/28/2021 04:52:00,39834.24,39834.24,39819.17,39830.77,419691.97
07/28/2021 04:53:00,39830.76,39926.92,39827.17,39846.62,2964844.8
07/28/2021 04:54:00,39846.62,39883.43,39846.61,39851.25,1451749.2
07/28/2021 04:55:00,39851.25,39851.25,39760,39761.98,835878.06
07/28/2021 04:56:00,39761.99,39792.39,39730.76,39737.44,1431929
07/28/2021 04:57:00,39737.45,39745.45,39680.04,39716.66,2531165.8
07/28/2021 04:58:00,39716.67,39738.66,39675.66,39682.32,3329998.8
07/28/2021 04:59:00,39682.31,39688.31,39671.16,39676.16,906325.6
07/28/2021 05:00:00,39676.16,39768.83,39620,39768.82,2790026.5
07/28/2021 05:01:00,39767.43,39801.94,39725.86,39800.01,1868342.4
07/28/2021 05:02:00,39795.71,39838.31,39783.39,39838.31,1145012.8
07/28/2021 05:03:00,39835.33,39900,39810.99,39891.02,918221.8
07/28/2021 05:04:00,39893.41,39911.01,39840.02,39886.22,1660666.6
07/28/2021 05:05:00,39886.22,39886.23,39792.32,39792.32,1662404.1
07/28/2021 05:06:00,39792.32,39876.46,39763.3,39864.95,1682276.9
07/28/2021 05:07:00,39864.95,39889.35,39825.97,39864.61,1608174.2
07/28/2021 05:08:00,39864.6,39881.52,39827.17,39827.18,1140096.2
07/28/2021 05:09:00,39827.17,39856.71,39800.79,39803.82,819389.94
07/28/2021 05:10:00,39803.82,39885.92,39800.85,39885.92,829280.9
07/28/2021 05:11:00,39885.91,39923.25,39861.5,39921.76,2615031.8
07/28/2021 05:12:00,39921.77,39980.55,39892.77,39941.62,3701487.2
07/28/2021 05:13:00,39941.63,39944.53,39900.03,39930.07,973869.56
07/28/2021 05:14:00,39923,39957.99,39923,39949.04,1593294.1
07/28/2021 05:15:00,39949.04,39996.13,39937.95,39987.76,3130810.8
07/28/2021 05:16:00,39989.7,39996.99,39963.1,39987.61,2222028.2
07/28/2021 05:17:00,39986.76,40032,39940,39947.43,4587827.5
07/28/2021 05:18:00,39947.43,39947.43,39852.35,39908.63,3990300
07/28/2021 05:19:00,39908.53,40009.82,39902.73,39994.57,2379751.8
07/28/2021 05:20:00,39994.56,40090.18,39994.54,40025,3206896.2
07/28/2021 05:21:00,40025,40099.48,40009.14,40085.73,2757447
07/28/2021 05:22:00,40085.08,40092.87,39941.92,40017.17,6039183.5
07/28/2021 05:23:00,40017.17,40086.73,39990.3,39990.31,1746322.2
07/28/2021 05:24:00,39990.3,39999,39967.92,39992.85,1797370.4
07/28/2021 05:25:00,39988.23,40029.64,39988.21,40018.31,1601318.6
07/28/2021 05:26:00,40018.3,40067.32,39987.64,39987.64,2964059
07/28/2021 05:27:00,39987.64,40008.99,39980,40000.01,614706.2
07/28/2021 05:28:00,40000,40032.88,39996.34,40002.29,1797614.6
07/28/2021 05:29:00,40003.9,40030,39989.31,40019.07,1137058.8
07/28/2021 05:30:00,40019.07,40019.08,39960.04,39967.03,2206828.5
07/28/2021 05:31:00,39967.03,40025,39963.83,39997.47,1126619.2
07/28/2021 05:32:00,39997.46,39997.47,39973.01,39993.28,1067090.4
07/28/2021 05:33:00,39993.29,39993.29,39940.66,39969.96,1626713.5
07/28/2021 05:34:00,39969.96,39969.98,39865.1,39876.44,2727327.8
07/28/2021 05:35:00,39876.45,39936.21,39833.91,39913.15,2723315.2
07/28/2021 05:36:00,39913.14,39946.58,39871.57,39932.25,1334872
07/28/2021 05:37:00,39932.94,39941.65,39907.14,39926.06,623010.25
07/28/2021 05:38:00,39926.06,39975.68,39926.01,39959.68,997101.75
07/28/2021 05:39:00,39959.67,40045,39957.63,40036.5,3286044.2
07/28/2021 05:40:00,40036.51,40119.23,40034.96,40072.14,6684429.5
07/28/2021 05:41:00,40072.13,40073.6,40032.83,40032.84,1323162.9
07/28/2021 05:42:00,40032.61,40071.99,40019.04,40055.6,2125188.2
07/28/2021 05:43:00,40055.6,40104.69,40040.19,40103.8,2452513.8
07/28/2021 05:44:00,40103.8,40183.67,40102,40147.94,10335314
07/28/2021 05:45:00,40147.95,40147.95,40072.92,40079.64,3245438
07/28/2021 05:46:00,40079.65,40079.65,39998.81,40020.56,5626410.5
07/28/2021 05:47:00,40020.57,40040,39957.64,40019.96,2577890.5
07/28/2021 05:48:00,40020.23,40090.8,40018.66,40056.1,1251868.1
07/28/2021 05:49:00,40056.1,40110,40056.09,40107.06,2027194.1
